"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Readmission_Score","Lower","Higher"
20001,"PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","READM_30_AMI","No Different than the National Rate",15.3,"12.9","18.1"
20006,"MAT-SU REGIONAL MEDICAL CENTER","PALMER","AK",99645,"MATANUSKA SUSITNA","READM_30_AMI","No Different than the National Rate",17.8,"14.4","21.9"
20008,"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK",99801,"JUNEAU","READM_30_AMI",NA,NA,"Not Available","Not Available"
20012,"FAIRBANKS MEMORIAL HOSPITAL","FAIRBANKS","AK",99701,"FAIRBANKS NORTH STAR","READM_30_AMI","No Different than the National Rate",15.7,"12.6","19.4"
20017,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK",99508,"ANCHORAGE","READM_30_AMI","No Different than the National Rate",16.6,"13.5","20.1"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","BETHEL","AK",99559,"BETHEL","READM_30_AMI",NA,NA,"Not Available","Not Available"
20026,"ALASKA NATIVE MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","READM_30_AMI","No Different than the National Rate",16.4,"13.4","19.8"
21303,"SITKA COMMUNITY HOSPITAL","SITKA","AK",99835,"SITKA","READM_30_AMI",NA,NA,"Not Available","Not Available"
21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR","KODIAK","AK",99615,"KODIAK ISLAND","READM_30_AMI",NA,NA,"Not Available","Not Available"
21308,"NORTON SOUND REGIONAL HOSPITAL","NOME","AK",99762,"NOME","READM_30_AMI",NA,NA,"Not Available","Not Available"
21309,"KANAKANAK HOSPITAL","DILLINGHAM","AK",99576,"DILLINGHAM","READM_30_AMI",NA,NA,"Not Available","Not Available"
21310,"MANIILAQ HEALTH CENTER","KOTZEBUE","AK",99752,"NORTHWEST ARCTIC","READM_30_AMI",NA,NA,"Not Available","Not Available"
21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","KETCHIKAN","AK",99901,"KETCHIKAN GATEWAY","READM_30_AMI",NA,NA,"Not Available","Not Available"
30001,"ABRAZO MARYVALE CAMPUS","PHOENIX","AZ",85031,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","PHOENIX","AZ",85006,"MARICOPA","READM_30_AMI","No Different than the National Rate",17,"14.3","20.1"
20024,"CENTRAL PENINSULA GENERAL HOSPITAL","SOLDOTNA","AK",99669,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21301,"PROVIDENCE VALDEZ MEDICAL CENTER","VALDEZ","AK",99686,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21302,"PROVIDENCE SEWARD HOSPITAL","SEWARD","AK",99664,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21304,"PETERSBURG MEDICAL CENTER","PETERSBURG","AK",99833,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21305,"WRANGELL MEDICAL CENTER","WRANGELL","AK",99929,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21307,"CORDOVA COMMUNITY MEDICAL CENTER","CORDOVA","AK",99574,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL","BARROW","AK",99723,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
21313,"SOUTH PENINSULA HOSPITAL","HOMER","AK",99603,"","READM_30_AMI",NA,NA,"Not Available","Not Available"
30006,"TUCSON MEDICAL CENTER","TUCSON","AZ",85712,"PIMA","READM_30_AMI","No Different than the National Rate",16.9,"14.2","19.8"
30007,"VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ",86326,"YAVAPAI","READM_30_AMI","No Different than the National Rate",16.4,"13.4","19.9"
30010,"ST. MARY'S HOSPITAL","TUCSON","AZ",85745,"PIMA","READM_30_AMI","No Different than the National Rate",16.1,"13.5","19.1"
30011,"ST JOSEPH'S HOSPITAL","TUCSON","AZ",85711,"PIMA","READM_30_AMI","No Different than the National Rate",17.2,"14.3","20.3"
30012,"YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ",86301,"YAVAPAI","READM_30_AMI","No Different than the National Rate",16.4,"14.0","19.0"
30013,"YUMA REGIONAL MEDICAL CENTER","YUMA","AZ",85364,"YUMA","READM_30_AMI","No Different than the National Rate",17.2,"14.9","19.8"
30014,"JOHN C. LINCOLN MEDICAL CENTER","PHOENIX","AZ",85020,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.7,"13.7","20.0"
30016,"BANNER CASA GRANDE MEDICAL CENTER","CASA GRANDE","AZ",85222,"PINAL","READM_30_AMI","No Different than the National Rate",16.2,"13.2","19.8"
30022,"MARICOPA MEDICAL CENTER","PHOENIX","AZ",85008,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30023,"FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ",86001,"COCONINO","READM_30_AMI","No Different than the National Rate",16.6,"13.8","19.8"
30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ",85013,"MARICOPA","READM_30_AMI","No Different than the National Rate",17,"14.1","20.5"
30030,"ABRAZO CENTRAL CAMPUS","PHOENIX","AZ",85015,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.1,"13.4","19.2"
30033,"BANNER PAYSON MEDICAL CENTER","PAYSON","AZ",85541,"GILA","READM_30_AMI","No Different than the National Rate",16.6,"13.7","20.1"
30036,"CHANDLER REGIONAL MEDICAL CENTER","CHANDLER","AZ",85224,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.8,"14.2","19.6"
30037,"ST LUKE'S MEDICAL CENTER","PHOENIX","AZ",85006,"MARICOPA","READM_30_AMI","No Different than the National Rate",17,"13.8","20.5"
30038,"SCOTTSDALE OSBORN MEDICAL CENTER","SCOTTSDALE","AZ",85251,"MARICOPA","READM_30_AMI","No Different than the National Rate",17.6,"14.6","21.1"
30043,"CANYON VISTA MEDICAL CENTER","SIERRA VISTA","AZ",85635,"COCHISE","READM_30_AMI","No Different than the National Rate",17.8,"14.9","21.0"
30055,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ",86409,"MOHAVE","READM_30_AMI","No Different than the National Rate",17,"14.3","20.1"
30061,"BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ",85351,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.3,"14.1","19.0"
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ",85901,"NAVAJO","READM_30_AMI","No Different than the National Rate",16,"13.1","19.3"
30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","TUCSON","AZ",85724,"PIMA","READM_30_AMI","No Different than the National Rate",17.8,"15.0","20.9"
30065,"BANNER DESERT MEDICAL CENTER","MESA","AZ",85202,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.4,"13.6","19.4"
30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","SAFFORD","AZ",85546,"GRAHAM","READM_30_AMI",NA,NA,"Not Available","Not Available"
30069,"HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CITY","AZ",86403,"MOHAVE","READM_30_AMI","No Different than the National Rate",17.1,"14.3","20.3"
30071,"FORT DEFIANCE INDIAN HOSPITAL","FORT DEFIANCE","AZ",86504,"APACHE","READM_30_AMI",NA,NA,"Not Available","Not Available"
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ",86045,"COCONINO","READM_30_AMI",NA,NA,"Not Available","Not Available"
30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL","SELLS","AZ",85634,"PIMA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30077,"SAN CARLOS APACHE HEALTHCARE","PERIDOT","AZ",85542,"GILA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30078,"PHOENIX INDIAN MEDICAL CENTER","PHOENIX","AZ",85016,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30083,"ABRAZO SCOTTSDALE CAMPUS","PHOENIX","AZ",85032,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.1,"13.0","19.6"
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","CHINLE","AZ",86503,"APACHE","READM_30_AMI",NA,NA,"Not Available","Not Available"
30085,"NORTHWEST MEDICAL CENTER","TUCSON","AZ",85741,"PIMA","READM_30_AMI","No Different than the National Rate",16,"13.5","19.2"
30087,"SCOTTSDALE SHEA MEDICAL CENTER","SCOTTSDALE","AZ",85260,"MARICOPA","READM_30_AMI","No Different than the National Rate",16,"13.4","19.1"
30088,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ",85206,"MARICOPA","READM_30_AMI","No Different than the National Rate",17.4,"14.5","20.9"
30089,"BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ",85306,"MARICOPA","READM_30_AMI","No Different than the National Rate",16,"13.4","18.9"
30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER","PHOENIX","AZ",85027,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.2,"13.3","19.6"
30093,"BANNER DEL E WEBB MEDICAL CENTER","SUN CITY WEST","AZ",85375,"MARICOPA","READM_30_AMI","No Different than the National Rate",15.8,"13.4","18.5"
30094,"ABRAZO ARROWHEAD CAMPUS","GLENDALE","AZ",85308,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.5,"13.5","19.8"
30101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER","BULLHEAD CITY","AZ",86442,"MOHAVE","READM_30_AMI","No Different than the National Rate",17.7,"15.0","20.9"
30103,"MAYO CLINIC HOSPITAL","PHOENIX","AZ",85054,"MARICOPA","READM_30_AMI","No Different than the National Rate",14.7,"12.3","17.5"
30105,"BANNER HEART HOSPITAL","MESA","AZ",85206,"MARICOPA","READM_30_AMI","No Different than the National Rate",14.7,"12.7","17.1"
30107,"ARIZONA SPINE AND JOINT HOSPITAL","MESA","AZ",85206,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","PHOENIX","AZ",85015,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30110,"ABRAZO WEST CAMPUS","GOODYEAR","AZ",85395,"MARICOPA","READM_30_AMI","No Different than the National Rate",18.9,"15.8","22.6"
30111,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","TUCSON","AZ",85713,"PIMA","READM_30_AMI","No Different than the National Rate",17.5,"14.5","21.2"
30112,"ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP","CHANDLER","AZ",85224,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30113,"WHITERIVER PHS INDIAN HOSPITAL","WHITERIVER","AZ",85941,"NAVAJO","READM_30_AMI",NA,NA,"Not Available","Not Available"
30114,"ORO VALLEY HOSPITAL","ORO VALLEY","AZ",85755,"PIMA","READM_30_AMI","No Different than the National Rate",16.8,"13.7","20.5"
30115,"BANNER ESTRELLA MEDICAL CENTER","PHOENIX","AZ",85037,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.5,"13.7","19.8"
30117,"VALLEY VIEW MEDICAL CENTER","FORT MOHAVE","AZ",86426,"MOHAVE","READM_30_AMI","No Different than the National Rate",16,"13.0","19.6"
30118,"YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","PRESCOTT VALLEY","AZ",86314,"YAVAPAI","READM_30_AMI","No Different than the National Rate",17.2,"14.0","20.9"
30119,"MERCY GILBERT MEDICAL CENTER","GILBERT","AZ",85296,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.5,"13.8","19.8"
30120,"GILBERT HOSPITAL","GILBERT","AZ",85295,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP","MESA","AZ",85209,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.5,"13.8","19.6"
30122,"BANNER GATEWAY MEDICAL CENTER","GILBERT","AZ",85234,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30123,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","SCOTTSDALE","AZ",85255,"MARICOPA","READM_30_AMI","No Different than the National Rate",16.2,"13.1","19.7"
30130,"BANNER IRONWOOD MEDICAL CENTER","SAN TAN VALLEY","AZ",85140,"PINAL","READM_30_AMI",NA,NA,"Not Available","Not Available"
30131,"O.A.S.I.S. HOSPITAL","PHOENIX","AZ",85008,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30132,"FLORENCE HOSPITAL AT ANTHEM, LLC","FLORENCE","AZ",85132,"PINAL","READM_30_AMI",NA,NA,"Not Available","Not Available"
30134,"BANNER GOLDFIELD MEDICAL CENTER","APACHE JUNCTION","AZ",85120,"PINAL","READM_30_AMI",NA,NA,"Not Available","Not Available"
30136,"DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","LAVEEN","AZ",85339,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
30137,"GREEN VALLEY HOSPITAL","GREEN VALLEY","AZ",85614,"PIMA","READM_30_AMI",NA,NA,"Not Available","Not Available"
31300,"WICKENBURG COMMUNITY HOSPITAL","WICKENBURG","AZ",85390,"MARICOPA","READM_30_AMI",NA,NA,"Not Available","Not Available"
31301,"BENSON HOSPITAL","BENSON","AZ",85602,"COCHISE","READM_30_AMI",NA,NA,"Not Available","Not Available"
31302,"NORTHERN COCHISE COMMUNITY HOSPITAL","WILLCOX","AZ",85643,"COCHISE","READM_30_AMI",NA,NA,"Not Available","Not Available"
31304,"PAGE HOSPITAL","PAGE","AZ",86040,"COCONINO","READM_30_AMI",NA,NA,"Not Available","Not Available"
31305,"HOPI HEALTH CARE CENTER","POLACCA","AZ",86042,"NAVAJO","READM_30_AMI",NA,NA,"Not Available","Not Available"
31307,"PARKER INDIAN HEALTH CENTER","PARKER","AZ",85344,"LA PAZ","READM_30_AMI",NA,NA,"Not Available","Not Available"
31308,"HUHU KAM MEMORIAL HOSPITAL","SACATON","AZ",85147,"PINAL","READM_30_AMI",NA,NA,"Not Available","Not Available"
