"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Death_Score","Lower","Higher"
10109,"PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL",35447,"PICKENS","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10110,"BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL",36089,"BULLOCK","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","DEMOPOLIS","AL",36732,"MARENGO","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10113,"MOBILE INFIRMARY MEDICAL CENTER","MOBILE","AL",36652,"MOBILE","MORT_30_AMI","No Different than the National Rate",15.5,"12.4","19.4"
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL",35021,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",13.5,"10.3","17.1"
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","SELMA","AL",36701,"DALLAS","MORT_30_AMI","No Different than the National Rate",15.3,"12.2","18.8"
10120,"MONROE COUNTY HOSPITAL","MONROEVILLE","AL",36460,"MONROE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10125,"LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL",35565,"WINSTON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10126,"TROY REGIONAL MEDICAL CENTER","TROY","AL",36081,"PIKE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10128,"JACKSON MEDICAL CENTER","JACKSON","AL",36545,"CLARKE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10129,"NORTH BALDWIN INFIRMARY","BAY MINETTE","AL",36507,"BALDWIN","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10130,"ST VINCENT'S ST CLAIR","PELL CITY","AL",35125,"SAINT CLAIR","MORT_30_AMI","No Different than the National Rate",13.6,"10.3","17.2"
10131,"CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL",35801,"MADISON","MORT_30_AMI","No Different than the National Rate",13.9,"11.0","17.3"
10138,"HILL HOSPITAL OF SUMTER COUNTY","YORK","AL",36925,"SUMTER","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10139,"BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL",35209,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",12.5,"10.1","15.5"
10144,"SPRINGHILL MEMORIAL HOSPITAL","MOBILE","AL",36608,"MOBILE","MORT_30_AMI","No Different than the National Rate",14.9,"11.5","19.0"
10146,"RMC JACKSONVILLE","JACKSONVILLE","AL",36265,"CALHOUN","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10148,"EVERGREEN MEDICAL CENTER","EVERGREEN","AL",36401,"CONECUH","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10149,"BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL",36117,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",13.1,"10.1","16.6"
10150,"L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL",36037,"BUTLER","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10157,"SHOALS HOSPITAL","MUSCLE SHOALS","AL",35661,"COLBERT","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10158,"RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL",35653,"FRANKLIN","MORT_30_AMI","No Different than the National Rate",15.3,"11.6","19.8"
10164,"COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL",35150,"TALLADEGA","MORT_30_AMI","No Different than the National Rate",14.1,"11.0","17.9"
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL",36867,"RUSSELL","MORT_30_AMI",NA,NA,"Not Available","Not Available"
10169,"ATMORE COMMUNITY HOSPITAL","ATMORE","AL",36502,"ESCAMBIA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
11300,"WASHINGTON COUNTY HOSPITAL","CHATOM","AL",36518,"WASHINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
11302,"RED BAY HOSPITAL","RED BAY","AL",35582,"FRANKLIN","MORT_30_AMI",NA,NA,"Not Available","Not Available"
11304,"CHOCTAW GENERAL HOSPITAL","BUTLER","AL",36904,"CHOCTAW","MORT_30_AMI",NA,NA,"Not Available","Not Available"
11305,"ST VINCENTS BLOUNT","ONEONTA","AL",35121,"BLOUNT","MORT_30_AMI",NA,NA,"Not Available","Not Available"
13300,"CHILDREN'S HOSPITAL OF ALABAMA","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available"
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","MOBILE","AL",36604,"MOBILE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
20001,"PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",13,"10.4","16.0"
20006,"MAT-SU REGIONAL MEDICAL CENTER","PALMER","AK",99645,"MATANUSKA SUSITNA","MORT_30_AMI","No Different than the National Rate",14.9,"11.4","19.4"
20008,"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK",99801,"JUNEAU","MORT_30_AMI",NA,NA,"Not Available","Not Available"
20012,"FAIRBANKS MEMORIAL HOSPITAL","FAIRBANKS","AK",99701,"FAIRBANKS NORTH STAR","MORT_30_AMI","No Different than the National Rate",13.2,"9.9","17.2"
20017,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",12.5,"9.5","16.1"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","BETHEL","AK",99559,"BETHEL","MORT_30_AMI",NA,NA,"Not Available","Not Available"
20026,"ALASKA NATIVE MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",12.7,"9.7","16.5"
21303,"SITKA COMMUNITY HOSPITAL","SITKA","AK",99835,"SITKA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR","KODIAK","AK",99615,"KODIAK ISLAND","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21308,"NORTON SOUND REGIONAL HOSPITAL","NOME","AK",99762,"NOME","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21309,"KANAKANAK HOSPITAL","DILLINGHAM","AK",99576,"DILLINGHAM","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21310,"MANIILAQ HEALTH CENTER","KOTZEBUE","AK",99752,"NORTHWEST ARCTIC","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","KETCHIKAN","AK",99901,"KETCHIKAN GATEWAY","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30001,"ABRAZO MARYVALE CAMPUS","PHOENIX","AZ",85031,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","PHOENIX","AZ",85006,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.6,"11.3","18.7"
30006,"TUCSON MEDICAL CENTER","TUCSON","AZ",85712,"PIMA","MORT_30_AMI","No Different than the National Rate",15.2,"12.4","18.5"
20024,"CENTRAL PENINSULA GENERAL HOSPITAL","SOLDOTNA","AK",99669,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21301,"PROVIDENCE VALDEZ MEDICAL CENTER","VALDEZ","AK",99686,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21302,"PROVIDENCE SEWARD HOSPITAL","SEWARD","AK",99664,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21304,"PETERSBURG MEDICAL CENTER","PETERSBURG","AK",99833,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21305,"WRANGELL MEDICAL CENTER","WRANGELL","AK",99929,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21307,"CORDOVA COMMUNITY MEDICAL CENTER","CORDOVA","AK",99574,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL","BARROW","AK",99723,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
21313,"SOUTH PENINSULA HOSPITAL","HOMER","AK",99603,"","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30007,"VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ",86326,"YAVAPAI","MORT_30_AMI","No Different than the National Rate",14.4,"11.2","18.6"
30010,"ST. MARY'S HOSPITAL","TUCSON","AZ",85745,"PIMA","MORT_30_AMI","No Different than the National Rate",13.9,"10.8","17.2"
30011,"ST JOSEPH'S HOSPITAL","TUCSON","AZ",85711,"PIMA","MORT_30_AMI","No Different than the National Rate",13.5,"10.9","16.6"
30012,"YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ",86301,"YAVAPAI","MORT_30_AMI","No Different than the National Rate",14.4,"11.9","17.4"
30013,"YUMA REGIONAL MEDICAL CENTER","YUMA","AZ",85364,"YUMA","MORT_30_AMI","No Different than the National Rate",13.1,"10.8","15.7"
30014,"JOHN C. LINCOLN MEDICAL CENTER","PHOENIX","AZ",85020,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"11.6","19.2"
30016,"BANNER CASA GRANDE MEDICAL CENTER","CASA GRANDE","AZ",85222,"PINAL","MORT_30_AMI","No Different than the National Rate",14.4,"11.0","18.6"
30022,"MARICOPA MEDICAL CENTER","PHOENIX","AZ",85008,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30023,"FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ",86001,"COCONINO","MORT_30_AMI","No Different than the National Rate",13.9,"10.9","17.7"
30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ",85013,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.9,"10.9","17.5"
30030,"ABRAZO CENTRAL CAMPUS","PHOENIX","AZ",85015,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.9,"12.6","19.8"
30033,"BANNER PAYSON MEDICAL CENTER","PAYSON","AZ",85541,"GILA","MORT_30_AMI","No Different than the National Rate",12.7,"9.7","16.2"
30036,"CHANDLER REGIONAL MEDICAL CENTER","CHANDLER","AZ",85224,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.2,"10.5","16.3"
30037,"ST LUKE'S MEDICAL CENTER","PHOENIX","AZ",85006,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"11.4","19.5"
30038,"SCOTTSDALE OSBORN MEDICAL CENTER","SCOTTSDALE","AZ",85251,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"12.1","18.7"
30043,"CANYON VISTA MEDICAL CENTER","SIERRA VISTA","AZ",85635,"COCHISE","MORT_30_AMI","No Different than the National Rate",14.9,"11.9","18.3"
30055,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ",86409,"MOHAVE","MORT_30_AMI","No Different than the National Rate",14.6,"11.6","18.3"
30061,"BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ",85351,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14,"11.6","16.7"
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ",85901,"NAVAJO","MORT_30_AMI","No Different than the National Rate",14.2,"10.7","18.6"
30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","TUCSON","AZ",85724,"PIMA","MORT_30_AMI","No Different than the National Rate",13.4,"10.6","16.7"
30065,"BANNER DESERT MEDICAL CENTER","MESA","AZ",85202,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.3,"10.6","16.8"
30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","SAFFORD","AZ",85546,"GRAHAM","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30069,"HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CITY","AZ",86403,"MOHAVE","MORT_30_AMI","No Different than the National Rate",16.1,"12.8","19.8"
30071,"FORT DEFIANCE INDIAN HOSPITAL","FORT DEFIANCE","AZ",86504,"APACHE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ",86045,"COCONINO","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL","SELLS","AZ",85634,"PIMA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30077,"SAN CARLOS APACHE HEALTHCARE","PERIDOT","AZ",85542,"GILA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30078,"PHOENIX INDIAN MEDICAL CENTER","PHOENIX","AZ",85016,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30083,"ABRAZO SCOTTSDALE CAMPUS","PHOENIX","AZ",85032,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.2,"10.7","18.5"
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","CHINLE","AZ",86503,"APACHE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30085,"NORTHWEST MEDICAL CENTER","TUCSON","AZ",85741,"PIMA","MORT_30_AMI","No Different than the National Rate",15.8,"12.7","19.2"
30087,"SCOTTSDALE SHEA MEDICAL CENTER","SCOTTSDALE","AZ",85260,"MARICOPA","MORT_30_AMI","No Different than the National Rate",12.5,"9.8","15.4"
30088,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ",85206,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.8,"10.6","17.8"
30089,"BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ",85306,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13,"10.3","16.4"
30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER","PHOENIX","AZ",85027,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.6,"10.3","17.4"
30093,"BANNER DEL E WEBB MEDICAL CENTER","SUN CITY WEST","AZ",85375,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.2,"10.7","16.1"
30094,"ABRAZO ARROWHEAD CAMPUS","GLENDALE","AZ",85308,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.7,"10.7","17.4"
30101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER","BULLHEAD CITY","AZ",86442,"MOHAVE","MORT_30_AMI","No Different than the National Rate",15.3,"12.3","18.7"
30103,"MAYO CLINIC HOSPITAL","PHOENIX","AZ",85054,"MARICOPA","MORT_30_AMI","Better than the National Rate",11.3,"9.0","14.0"
30105,"BANNER HEART HOSPITAL","MESA","AZ",85206,"MARICOPA","MORT_30_AMI","No Different than the National Rate",12.4,"10.2","14.9"
30107,"ARIZONA SPINE AND JOINT HOSPITAL","MESA","AZ",85206,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","PHOENIX","AZ",85015,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30110,"ABRAZO WEST CAMPUS","GOODYEAR","AZ",85395,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.4,"10.1","17.4"
30111,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS","TUCSON","AZ",85713,"PIMA","MORT_30_AMI","No Different than the National Rate",14.4,"11.0","18.8"
30112,"ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP","CHANDLER","AZ",85224,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30113,"WHITERIVER PHS INDIAN HOSPITAL","WHITERIVER","AZ",85941,"NAVAJO","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30114,"ORO VALLEY HOSPITAL","ORO VALLEY","AZ",85755,"PIMA","MORT_30_AMI","No Different than the National Rate",13.4,"10.3","17.0"
30115,"BANNER ESTRELLA MEDICAL CENTER","PHOENIX","AZ",85037,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.1,"10.6","18.5"
30117,"VALLEY VIEW MEDICAL CENTER","FORT MOHAVE","AZ",86426,"MOHAVE","MORT_30_AMI","No Different than the National Rate",13.4,"10.0","17.9"
30118,"YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS","PRESCOTT VALLEY","AZ",86314,"YAVAPAI","MORT_30_AMI","No Different than the National Rate",14,"10.4","18.5"
30119,"MERCY GILBERT MEDICAL CENTER","GILBERT","AZ",85296,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.5,"11.2","18.5"
30120,"GILBERT HOSPITAL","GILBERT","AZ",85295,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP","MESA","AZ",85209,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.8,"11.9","18.4"
30122,"BANNER GATEWAY MEDICAL CENTER","GILBERT","AZ",85234,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.8,"10.4","17.9"
30123,"SCOTTSDALE THOMPSON PEAK MEDICAL CENTER","SCOTTSDALE","AZ",85255,"MARICOPA","MORT_30_AMI","No Different than the National Rate",12.8,"9.7","16.4"
30130,"BANNER IRONWOOD MEDICAL CENTER","SAN TAN VALLEY","AZ",85140,"PINAL","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30131,"O.A.S.I.S. HOSPITAL","PHOENIX","AZ",85008,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30132,"FLORENCE HOSPITAL AT ANTHEM, LLC","FLORENCE","AZ",85132,"PINAL","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30134,"BANNER GOLDFIELD MEDICAL CENTER","APACHE JUNCTION","AZ",85120,"PINAL","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30136,"DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL","LAVEEN","AZ",85339,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
30137,"GREEN VALLEY HOSPITAL","GREEN VALLEY","AZ",85614,"PIMA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
31300,"WICKENBURG COMMUNITY HOSPITAL","WICKENBURG","AZ",85390,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available"
31301,"BENSON HOSPITAL","BENSON","AZ",85602,"COCHISE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
31302,"NORTHERN COCHISE COMMUNITY HOSPITAL","WILLCOX","AZ",85643,"COCHISE","MORT_30_AMI",NA,NA,"Not Available","Not Available"
31304,"PAGE HOSPITAL","PAGE","AZ",86040,"COCONINO","MORT_30_AMI",NA,NA,"Not Available","Not Available"
