"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Death_Score","Lower","Higher","Readmission_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
10035,"CULLMAN REGIONAL MEDICAL CENTER","CULLMAN","AL",35058,"CULLMAN","MORT_30_AMI","No Different than the National Rate",15.7,"12.4","19.6",16.2,"Worse Than National","Better Than National",NA
10036,"ANDALUSIA REGIONAL HOSPITAL","ANDALUSIA","AL",36420,"COVINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10038,"STRINGFELLOW MEMORIAL HOSPITAL","ANNISTON","AL",36201,"CALHOUN","MORT_30_AMI","No Different than the National Rate",14.5,"11.1","18.3",17.7,NA,"Worse Than National",NA
10039,"HUNTSVILLE HOSPITAL","HUNTSVILLE","AL",35801,"MADISON","MORT_30_AMI","No Different than the National Rate",13.1,"11.2","15.1",16.3,"Better Than National","Better Than National","Better Than National"
10040,"GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL",35903,"ETOWAH","MORT_30_AMI","No Different than the National Rate",15,"12.0","18.6",17.1,"Worse Than National",NA,NA
10044,"MARION REGIONAL MEDICAL CENTER","HAMILTON","AL",35570,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10045,"FAYETTE MEDICAL CENTER","FAYETTE","AL",35555,"FAYETTE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10046,"RIVERVIEW REGIONAL MEDICAL CENTER","GADSDEN","AL",35901,"ETOWAH","MORT_30_AMI","No Different than the National Rate",15.9,"12.3","20.3",17.9,"Worse Than National","Worse Than National","Worse Than National"
10047,"GEORGIANA MEDICAL CENTER","GEORGIANA","AL",36033,"BUTLER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10049,"MEDICAL CENTER ENTERPRISE","ENTERPRISE","AL",36330,"COFFEE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10051,"GREENE COUNTY HOSPITAL","EUTAW","AL",35462,"GREENE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10052,"LAKE MARTIN COMMUNITY HOSPITAL","DADEVILLE","AL",36853,"TALLAPOOSA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10055,"FLOWERS HOSPITAL","DOTHAN","AL",36305,"HOUSTON","MORT_30_AMI","No Different than the National Rate",17,"13.9","20.4",16,"Worse Than National","Better Than National",NA
10056,"ST VINCENT'S BIRMINGHAM","BIRMINGHAM","AL",35205,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",15.5,"12.7","18.7",16.9,"Worse Than National",NA,NA
10058,"BIBB MEDICAL CENTER","CENTREVILLE","AL",35042,"BIBB","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10059,"LAWRENCE MEDICAL CENTER","MOULTON","AL",35650,"LAWRENCE","MORT_30_AMI","No Different than the National Rate",14.5,"11.1","18.7",NA,NA,NA,NA
10061,"HIGHLANDS MEDICAL CENTER","SCOTTSBORO","AL",35768,"JACKSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10062,"WIREGRASS MEDICAL CENTER","GENEVA","AL",36340,"GENEVA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10065,"RUSSELL HOSPITAL","ALEXANDER CITY","AL",35010,"TALLAPOOSA","MORT_30_AMI","No Different than the National Rate",14.7,"10.9","19.0",16,NA,"Better Than National",NA
10069,"MEDICAL CENTER BARBOUR","EUFAULA","AL",36027,"BARBOUR","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10073,"CLAY COUNTY HOSPITAL","ASHLAND","AL",36251,"CLAY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL",36207,"CALHOUN","MORT_30_AMI","No Different than the National Rate",14.2,"11.6","17.3",17.8,NA,"Worse Than National",NA
10079,"ATHENS LIMESTONE HOSPITAL","ATHENS","AL",35611,"LIMESTONE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10083,"SOUTH BALDWIN REGIONAL MEDICAL CENTER","FOLEY","AL",36535,"BALDWIN","MORT_30_AMI","No Different than the National Rate",14.2,"10.9","18.0",16.5,NA,NA,NA
10085,"DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","DECATUR","AL",35601,"MORGAN","MORT_30_AMI","No Different than the National Rate",14.5,"11.4","18.1",17.5,NA,"Worse Than National",NA
10086,"NORTHWEST MEDICAL CENTER","WINFIELD","AL",35594,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10087,"UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","MOBILE","AL",36617,"MOBILE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10089,"WALKER BAPTIST MEDICAL CENTER","JASPER","AL",35502,"WALKER","MORT_30_AMI","No Different than the National Rate",12.7,"9.6","16.3",17.8,"Better Than National","Worse Than National",NA
10090,"PROVIDENCE HOSPITAL","MOBILE","AL",36608,"MOBILE","MORT_30_AMI","No Different than the National Rate",16.7,"13.4","20.3",17.9,"Worse Than National","Worse Than National","Worse Than National"
10091,"GROVE HILL MEMORIAL HOSPITAL","GROVE HILL","AL",36451,"CLARKE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10092,"D C H REGIONAL MEDICAL CENTER","TUSCALOOSA","AL",35401,"TUSCALOOSA","MORT_30_AMI","No Different than the National Rate",16.2,"13.5","19.3",18.7,"Worse Than National","Worse Than National","Worse Than National"
10095,"HALE COUNTY HOSPITAL","GREENSBORO","AL",36744,"HALE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10097,"ELMORE COMMUNITY HOSPITAL","WETUMPKA","AL",36092,"ELMORE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10099,"D W MCMILLAN MEMORIAL HOSPITAL","BREWTON","AL",36426,"ESCAMBIA","MORT_30_AMI","No Different than the National Rate",15.7,"12.0","20.2",NA,"Worse Than National",NA,NA
10100,"THOMAS HOSPITAL","FAIRHOPE","AL",36532,"BALDWIN","MORT_30_AMI","No Different than the National Rate",14.5,"11.4","18.4",15.5,NA,"Better Than National",NA
10101,"CITIZENS BAPTIST MEDICAL CENTER","TALLADEGA","AL",35161,"TALLADEGA","MORT_30_AMI","No Different than the National Rate",14.3,"10.8","18.4",NA,NA,NA,NA
10102,"J PAUL JONES HOSPITAL","CAMDEN","AL",36726,"WILCOX","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10103,"BAPTIST MEDICAL CENTER-PRINCETON","BIRMINGHAM","AL",35211,"JEFFERSON","MORT_30_AMI","Worse than the National Rate",18.2,"15.0","21.9",17.7,"Worse Than National","Worse Than National","Worse Than National"
10104,"GRANDVIEW MEDICAL CENTER","BIRMINGHAM","AL",35243,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",15.2,"12.1","18.9",15.7,"Worse Than National","Better Than National",NA
10108,"PRATTVILLE BAPTIST HOSPITAL","PRATTVILLE","AL",36067,"AUTAUGA","MORT_30_AMI","No Different than the National Rate",13.9,"10.6","18.0",NA,NA,NA,NA
10109,"PICKENS COUNTY MEDICAL CENTER","CARROLLTON","AL",35447,"PICKENS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10110,"BULLOCK COUNTY HOSPITAL","UNION SPRINGS","AL",36089,"BULLOCK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10112,"BRYAN W. WHITFIELD MEMORIAL HOSPITAL","DEMOPOLIS","AL",36732,"MARENGO","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10113,"MOBILE INFIRMARY MEDICAL CENTER","MOBILE","AL",36652,"MOBILE","MORT_30_AMI","No Different than the National Rate",15.5,"12.4","19.4",16.8,"Worse Than National",NA,NA
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","BESSEMER","AL",35021,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",13.5,"10.3","17.1",16.9,NA,NA,NA
10118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS","SELMA","AL",36701,"DALLAS","MORT_30_AMI","No Different than the National Rate",15.3,"12.2","18.8",18.6,"Worse Than National","Worse Than National","Worse Than National"
10120,"MONROE COUNTY HOSPITAL","MONROEVILLE","AL",36460,"MONROE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10125,"LAKELAND COMMUNITY HOSPITAL","HALEYVILLE","AL",35565,"WINSTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10126,"TROY REGIONAL MEDICAL CENTER","TROY","AL",36081,"PIKE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10128,"JACKSON MEDICAL CENTER","JACKSON","AL",36545,"CLARKE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10129,"NORTH BALDWIN INFIRMARY","BAY MINETTE","AL",36507,"BALDWIN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10130,"ST VINCENT'S ST CLAIR","PELL CITY","AL",35125,"SAINT CLAIR","MORT_30_AMI","No Different than the National Rate",13.6,"10.3","17.2",NA,NA,NA,NA
10131,"CRESTWOOD MEDICAL CENTER","HUNTSVILLE","AL",35801,"MADISON","MORT_30_AMI","No Different than the National Rate",13.9,"11.0","17.3",17.6,NA,"Worse Than National",NA
10138,"HILL HOSPITAL OF SUMTER COUNTY","YORK","AL",36925,"SUMTER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10139,"BROOKWOOD MEDICAL CENTER","BIRMINGHAM","AL",35209,"JEFFERSON","MORT_30_AMI","No Different than the National Rate",12.5,"10.1","15.5",17.4,"Better Than National",NA,NA
10144,"SPRINGHILL MEMORIAL HOSPITAL","MOBILE","AL",36608,"MOBILE","MORT_30_AMI","No Different than the National Rate",14.9,"11.5","19.0",18.4,"Worse Than National","Worse Than National","Worse Than National"
10146,"RMC JACKSONVILLE","JACKSONVILLE","AL",36265,"CALHOUN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10148,"EVERGREEN MEDICAL CENTER","EVERGREEN","AL",36401,"CONECUH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10149,"BAPTIST MEDICAL CENTER EAST","MONTGOMERY","AL",36117,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",13.1,"10.1","16.6",16.7,"Better Than National",NA,NA
10150,"L V STABLER MEMORIAL HOSPITAL","GREENVILLE","AL",36037,"BUTLER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10157,"SHOALS HOSPITAL","MUSCLE SHOALS","AL",35661,"COLBERT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10158,"RUSSELLVILLE HOSPITAL","RUSSELLVILLE","AL",35653,"FRANKLIN","MORT_30_AMI","No Different than the National Rate",15.3,"11.6","19.8",NA,"Worse Than National",NA,NA
10164,"COOSA VALLEY MEDICAL CENTER","SYLACAUGA","AL",35150,"TALLADEGA","MORT_30_AMI","No Different than the National Rate",14.1,"11.0","17.9",16.3,NA,"Better Than National",NA
10168,"JACK HUGHSTON MEMORIAL HOSPITAL","PHENIX CITY","AL",36867,"RUSSELL","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
10169,"ATMORE COMMUNITY HOSPITAL","ATMORE","AL",36502,"ESCAMBIA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
11300,"WASHINGTON COUNTY HOSPITAL","CHATOM","AL",36518,"WASHINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
11302,"RED BAY HOSPITAL","RED BAY","AL",35582,"FRANKLIN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
11304,"CHOCTAW GENERAL HOSPITAL","BUTLER","AL",36904,"CHOCTAW","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
11305,"ST VINCENTS BLOUNT","ONEONTA","AL",35121,"BLOUNT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
13300,"CHILDREN'S HOSPITAL OF ALABAMA","BIRMINGHAM","AL",35233,"JEFFERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
13301,"UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS","MOBILE","AL",36604,"MOBILE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
20001,"PROVIDENCE ALASKA MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",13,"10.4","16.0",15.3,"Better Than National","Better Than National","Better Than National"
20006,"MAT-SU REGIONAL MEDICAL CENTER","PALMER","AK",99645,"MATANUSKA SUSITNA","MORT_30_AMI","No Different than the National Rate",14.9,"11.4","19.4",17.8,"Worse Than National","Worse Than National","Worse Than National"
20008,"BARTLETT REGIONAL HOSPITAL","JUNEAU","AK",99801,"JUNEAU","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
20012,"FAIRBANKS MEMORIAL HOSPITAL","FAIRBANKS","AK",99701,"FAIRBANKS NORTH STAR","MORT_30_AMI","No Different than the National Rate",13.2,"9.9","17.2",15.7,"Better Than National","Better Than National","Better Than National"
20017,"ALASKA REGIONAL HOSPITAL","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",12.5,"9.5","16.1",16.6,"Better Than National",NA,NA
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","BETHEL","AK",99559,"BETHEL","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
20026,"ALASKA NATIVE MEDICAL CENTER","ANCHORAGE","AK",99508,"ANCHORAGE","MORT_30_AMI","No Different than the National Rate",12.7,"9.7","16.5",16.4,"Better Than National",NA,NA
21303,"SITKA COMMUNITY HOSPITAL","SITKA","AK",99835,"SITKA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR","KODIAK","AK",99615,"KODIAK ISLAND","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21308,"NORTON SOUND REGIONAL HOSPITAL","NOME","AK",99762,"NOME","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21309,"KANAKANAK HOSPITAL","DILLINGHAM","AK",99576,"DILLINGHAM","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21310,"MANIILAQ HEALTH CENTER","KOTZEBUE","AK",99752,"NORTHWEST ARCTIC","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER","KETCHIKAN","AK",99901,"KETCHIKAN GATEWAY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30001,"ABRAZO MARYVALE CAMPUS","PHOENIX","AZ",85031,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","PHOENIX","AZ",85006,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.6,"11.3","18.7",17,NA,NA,NA
30006,"TUCSON MEDICAL CENTER","TUCSON","AZ",85712,"PIMA","MORT_30_AMI","No Different than the National Rate",15.2,"12.4","18.5",NA,"Worse Than National",NA,NA
20024,"CENTRAL PENINSULA GENERAL HOSPITAL","SOLDOTNA","AK",99669,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21301,"PROVIDENCE VALDEZ MEDICAL CENTER","VALDEZ","AK",99686,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21302,"PROVIDENCE SEWARD HOSPITAL","SEWARD","AK",99664,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21304,"PETERSBURG MEDICAL CENTER","PETERSBURG","AK",99833,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21305,"WRANGELL MEDICAL CENTER","WRANGELL","AK",99929,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21307,"CORDOVA COMMUNITY MEDICAL CENTER","CORDOVA","AK",99574,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL","BARROW","AK",99723,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
21313,"SOUTH PENINSULA HOSPITAL","HOMER","AK",99603,"","MORT_30_AMI",NA,NA,"Not Available","Not Available",16.9,NA,NA,NA
30007,"VERDE VALLEY MEDICAL CENTER","COTTONWOOD","AZ",86326,"YAVAPAI","MORT_30_AMI","No Different than the National Rate",14.4,"11.2","18.6",16.4,NA,NA,NA
30010,"ST. MARY'S HOSPITAL","TUCSON","AZ",85745,"PIMA","MORT_30_AMI","No Different than the National Rate",13.9,"10.8","17.2",16.1,NA,"Better Than National",NA
30011,"ST JOSEPH'S HOSPITAL","TUCSON","AZ",85711,"PIMA","MORT_30_AMI","No Different than the National Rate",13.5,"10.9","16.6",17.2,NA,NA,NA
30012,"YAVAPAI REGIONAL MEDICAL CENTER","PRESCOTT","AZ",86301,"YAVAPAI","MORT_30_AMI","No Different than the National Rate",14.4,"11.9","17.4",16.4,NA,NA,NA
30013,"YUMA REGIONAL MEDICAL CENTER","YUMA","AZ",85364,"YUMA","MORT_30_AMI","No Different than the National Rate",13.1,"10.8","15.7",17.2,"Better Than National",NA,NA
30014,"JOHN C. LINCOLN MEDICAL CENTER","PHOENIX","AZ",85020,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"11.6","19.2",16.7,"Worse Than National",NA,NA
30016,"BANNER CASA GRANDE MEDICAL CENTER","CASA GRANDE","AZ",85222,"PINAL","MORT_30_AMI","No Different than the National Rate",14.4,"11.0","18.6",16.2,NA,"Better Than National",NA
30022,"MARICOPA MEDICAL CENTER","PHOENIX","AZ",85008,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30023,"FLAGSTAFF MEDICAL CENTER","FLAGSTAFF","AZ",86001,"COCONINO","MORT_30_AMI","No Different than the National Rate",13.9,"10.9","17.7",16.6,NA,NA,NA
30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER","PHOENIX","AZ",85013,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.9,"10.9","17.5",17,NA,NA,NA
30030,"ABRAZO CENTRAL CAMPUS","PHOENIX","AZ",85015,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.9,"12.6","19.8",16.1,"Worse Than National","Better Than National",NA
30033,"BANNER PAYSON MEDICAL CENTER","PAYSON","AZ",85541,"GILA","MORT_30_AMI","No Different than the National Rate",12.7,"9.7","16.2",16.6,"Better Than National",NA,NA
30036,"CHANDLER REGIONAL MEDICAL CENTER","CHANDLER","AZ",85224,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.2,"10.5","16.3",16.8,"Better Than National",NA,NA
30037,"ST LUKE'S MEDICAL CENTER","PHOENIX","AZ",85006,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"11.4","19.5",17,"Worse Than National",NA,NA
30038,"SCOTTSDALE OSBORN MEDICAL CENTER","SCOTTSDALE","AZ",85251,"MARICOPA","MORT_30_AMI","No Different than the National Rate",15.1,"12.1","18.7",17.6,"Worse Than National","Worse Than National","Worse Than National"
30043,"CANYON VISTA MEDICAL CENTER","SIERRA VISTA","AZ",85635,"COCHISE","MORT_30_AMI","No Different than the National Rate",14.9,"11.9","18.3",17.8,"Worse Than National","Worse Than National","Worse Than National"
30055,"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ",86409,"MOHAVE","MORT_30_AMI","No Different than the National Rate",14.6,"11.6","18.3",17,NA,NA,NA
30061,"BANNER BOSWELL MEDICAL CENTER","SUN CITY","AZ",85351,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14,"11.6","16.7",16.3,NA,"Better Than National",NA
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","SHOW LOW","AZ",85901,"NAVAJO","MORT_30_AMI","No Different than the National Rate",14.2,"10.7","18.6",16,NA,"Better Than National",NA
30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS","TUCSON","AZ",85724,"PIMA","MORT_30_AMI","No Different than the National Rate",13.4,"10.6","16.7",17.8,NA,"Worse Than National",NA
30065,"BANNER DESERT MEDICAL CENTER","MESA","AZ",85202,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.3,"10.6","16.8",16.4,"Better Than National",NA,NA
30068,"MT. GRAHAM REGIONAL MEDICAL CENTER","SAFFORD","AZ",85546,"GRAHAM","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30069,"HAVASU REGIONAL MEDICAL CENTER","LAKE HAVASU CITY","AZ",86403,"MOHAVE","MORT_30_AMI","No Different than the National Rate",16.1,"12.8","19.8",17.1,"Worse Than National",NA,NA
30071,"FORT DEFIANCE INDIAN HOSPITAL","FORT DEFIANCE","AZ",86504,"APACHE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION","TUBA CITY","AZ",86045,"COCONINO","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30074,"SELLS INDIAN HEALTH SERVICE HOSPITAL","SELLS","AZ",85634,"PIMA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30077,"SAN CARLOS APACHE HEALTHCARE","PERIDOT","AZ",85542,"GILA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30078,"PHOENIX INDIAN MEDICAL CENTER","PHOENIX","AZ",85016,"MARICOPA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30083,"ABRAZO SCOTTSDALE CAMPUS","PHOENIX","AZ",85032,"MARICOPA","MORT_30_AMI","No Different than the National Rate",14.2,"10.7","18.5",16.1,NA,"Better Than National",NA
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY","CHINLE","AZ",86503,"APACHE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
30085,"NORTHWEST MEDICAL CENTER","TUCSON","AZ",85741,"PIMA","MORT_30_AMI","No Different than the National Rate",15.8,"12.7","19.2",16,"Worse Than National","Better Than National",NA
30087,"SCOTTSDALE SHEA MEDICAL CENTER","SCOTTSDALE","AZ",85260,"MARICOPA","MORT_30_AMI","No Different than the National Rate",12.5,"9.8","15.4",16,"Better Than National","Better Than National","Better Than National"
30088,"BANNER BAYWOOD MEDICAL CENTER","MESA","AZ",85206,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.8,"10.6","17.8",17.4,NA,NA,NA
30089,"BANNER THUNDERBIRD MEDICAL CENTER","GLENDALE","AZ",85306,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13,"10.3","16.4",16,"Better Than National","Better Than National","Better Than National"
30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER","PHOENIX","AZ",85027,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.6,"10.3","17.4",16.2,NA,"Better Than National",NA
30093,"BANNER DEL E WEBB MEDICAL CENTER","SUN CITY WEST","AZ",85375,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.2,"10.7","16.1",15.8,"Better Than National","Better Than National","Better Than National"
30094,"ABRAZO ARROWHEAD CAMPUS","GLENDALE","AZ",85308,"MARICOPA","MORT_30_AMI","No Different than the National Rate",13.7,"10.7","17.4",16.5,NA,NA,NA
